alphaHigh,alphaLow,betaHigh,betaLow,delta,gammaHigh,gammaLow,theta,attention,meditation
25220,44318,13704,56298,551167,5516,5634,77668,43,47
10354,1336,1661,3994,39830,525,1368,19192,47,51
1918,385,1734,13889,5664,365,1822,3169,30,56
4319,1733,5288,4115,39027,1332,1055,47054,41,50
9788,16918,6445,26007,585137,6910,10914,143265,48,48
4850,12393,2415,18338,34879,445,1087,21293,37,40
1929,1838,2204,2458,10689,1981,1986,5702,40,38
656,422,1656,5814,7987,1314,1161,4942,37,48
8215,2594,2067,8715,25437,1004,3030,13984,47,47
6668,4585,2563,4240,9049,1099,1589,14720,56,53
2915,7520,5232,14448,21638,1069,1365,20502,61,54
7521,5079,2954,9897,89675,647,2250,55018,57,53
1058,356,4018,11515,12786,862,2394,7193,37,60
1035,6509,4451,13497,6479,639,2248,5332,54,44
2252,7277,2993,7379,6616,290,1322,3879,67,40
1824,7193,10555,4575,122575,439,2285,27034,70,48
210,1598,4497,7320,2886,1238,1337,11659,93,50
15075,30439,15161,11103,475048,2351,7770,47497,90,51
7167,32249,8289,23660,723433,5357,5294,47408,81,56
5070,2031,2750,17774,17081,1235,1436,10602,74,53
26625,69932,16416,22750,924780,14313,25617,177508,64,53
