emotion,alphaHigh,alphaLow,betaHigh,betaLow,delta,gammaHigh,gammaLow,theta
1,6163.8,6682.5,1635,3171.6,24996.8,488.9,828.1,12356.6
1,6512.4,7164.8,1686.5,3746.8,27399.8,487.6,842.6,13592.2
1,7440.3,5939.9,1705.6,3576.9,23025.3,495.2,884.4,12634.8
1,8440,5897.3,1692.6,3884.6,20360.4,496.7,966.5,12968.7
1,8916.7,6803.3,1724.5,4087.4,20243.2,506.9,909.6,13006.4
1,10856.5,7555.4,1638.9,3895.3,19714.2,481.9,942,11812.4
1,10380.9,7260,1544.8,3789.4,25441.1,431.9,862.1,12015
1,9019.1,7008.5,1614.1,3549.4,19791.6,391.3,853.4,10824.1
1,9943.4,9063.4,2741.8,4355.2,72468.7,542.9,1441.7,28642.3
1,10714.8,8931.1,2762,4253.2,71538.9,576.9,1382.8,28996.3
1,11630.8,8990.3,2714.4,4158.4,82111.7,585,1340.1,34307.1
1,12063,9409.6,2759.4,3411.4,81214.9,542.9,1411.5,34093.6
1,11896.2,10093.1,3157.5,3590,84847.4,526.6,1393.3,35105.9
1,11197,10565.3,3098.2,3441.6,86293,532.5,1248.6,35040.1
1,11611.2,8989.4,3146.4,3248.8,90737.3,520.2,1268.6,37095.4
1,10484.5,8250.2,3267.8,3228.3,102988.6,518.4,1263.7,38021.5
1,11014.8,8548.4,3571.9,3713.7,98341.6,537.1,1409.6,37631
1,10944.2,9013.7,3406.1,3929.3,97891.4,558.6,1414.1,37255.9
1,10042.8,6611.8,2329.6,2963.7,45434.9,454.6,761.7,19892.6
1,9316.2,6338.6,2391.5,2939.8,45161,465.2,803.6,20281.3
1,8609.5,5505.4,2415.4,2958.9,34173.1,458.8,909.8,14337.3
1,7845.1,4558.7,2311.6,2924.3,35346.5,463.3,823,13290.3
1,7684.5,4460.2,1853.4,2742.1,31940.1,551.4,909.9,10970.4
1,7119.6,3858.7,2008.3,2490.4,33960.2,545.2,1052.5,14479.5
1,7243.5,4065.9,1994.3,2761.6,32918.2,573.7,1141.4,13312
1,6527.5,4268.8,2006,2602.3,20915.4,593.7,1141.6,13259.7
1,10420.5,5796.8,2632.1,3057.7,188264.3,648.3,1566.6,16845.3
1,11109.5,5300.9,2580.4,2688.5,187297.6,600.5,1623.1,16390.4
1,10195.7,4627,2501.2,2696.2,185698.5,536.6,1653.7,15822.3
1,10140.2,5360.1,2610.3,2984.7,193236.6,519.5,1625,16423.4
1,10169.1,5335,2617.7,2964.3,193213.7,580.5,1646.3,16357.9
1,10116.6,6082.3,2692.6,4112.3,193205.3,635.5,1739.8,17191.7
1,9448.9,5410.2,2657.6,4023.1,210461.8,557.5,1645.8,21964.7
1,10198.6,5146.7,2440.2,4295.1,208945.5,584.9,1560.2,17880.6
1,9110.1,5705.8,2412,4126.3,208550.9,534.4,1493.9,19969.4
1,9243.3,5712.2,2301.9,4213,208041,531.5,1495.3,18877.5
1,4887.6,4228.6,1585.8,3328,40102.6,486.8,956.9,15907.3
1,5091.2,5131.9,1543,3382.9,43707.3,534.6,846.6,19026.6
1,6821.6,5595.4,1641.6,3468.9,44412.3,512.9,812.9,19274.5
1,8430.9,5359.8,1509.6,3587.8,40005.9,547,798.5,19508.3
1,8096,6159,1536.6,3595,41645.5,477.1,791.4,21801.2
1,9697.3,6121.6,1764.4,2562.4,39293.5,445.6,757.8,21130
1,10405.9,6263.3,1833.4,2589.8,22534.9,505.9,755.3,16867.4
1,10257.7,6864.6,1827.5,2234.6,20635.8,485.5,746.6,16909.8
1,10628.9,6071.1,1875.3,2190.6,21895.4,526.8,797,14207.6
1,12809.3,5938.7,1970.1,2434.7,22162.9,524.3,767.2,14429.3
1,12627.2,5911,1867.9,2607,22020.6,542,759.9,14070.4
1,13084,5863.6,2001.4,2561.6,19602.7,618.7,797.8,11056.9
1,11389.2,5446.1,2112.2,2692.5,20316.1,644.5,860.5,13027
1,11203,5638.4,2072,2449.1,19023,614.1,965.1,11985.7
1,11739.4,5660.8,2349.3,2577,24408.4,659,892,13959.1
1,10870.2,5250,2032.3,2783,24414.9,680.5,867.5,14188.5
1,12006.6,5596.3,2040.7,2705,23032.7,603.5,939.1,13946.5
1,16133.2,5954.8,2842.9,4866.2,78488.8,712,1599.7,17239.3
1,16024.4,7477.6,3319.6,7094,92071,839.4,1754.4,22363.1
1,14984.5,7934.4,3172.8,7056.7,92086.7,827,1809,22376.8
1,16592.4,8467.4,3214.6,7115,92119.4,830.4,1814.6,24053.1
1,15440.6,8049.4,3109.2,7394.3,90605.7,750.6,1821.1,24381
1,16189.6,8147.9,3004.5,7194.5,90372.9,763.2,1746.3,21974.3
1,16138.5,7656.6,3019.3,7370.9,90329.6,738.7,1713.1,22143.9
1,15987.5,7787.3,2781.8,7627.7,86593.6,684.3,1753.1,19729.6
1,16393.2,7715.6,2897.7,7449.8,86384.3,642.3,1850.3,20261.9
1,14805.8,7284.5,2877.7,7653.2,88148.6,657.6,1777.2,20693
1,10597.9,6420.9,2050.5,5470,32451.7,530.8,1108.2,17183.8
1,10849.2,4929.2,1685.8,3969.3,15806.2,409.7,931.7,14720.4
1,10027.2,4488.9,1789,3896.4,22818.9,412,899.3,18152.5
1,9819.5,4231.9,1780.4,3984.6,22691.8,402,1042.5,17448.4
1,10462.4,3986.6,1824.7,3761.4,25724.8,372.2,1005.9,17043.7
1,9989.2,4122.5,1814.9,3953.8,29900.3,400.6,1054.7,18298.2
1,9427.7,4463.3,1764.2,3923.5,28706,419.1,1030.9,17835.9
1,9780.4,4109.7,1824.3,3666.6,26107.2,444.6,1063.2,17567.3
1,9191,4217.9,1739.1,3771.7,26446.2,488.4,1052.3,17653.9
1,10847.3,4498,1768.4,3739.7,26413.9,482.6,1055,16834.4
1,10738.2,4974.5,1878.2,3914.6,26032.2,499.2,1062,17034.3
1,10534.9,5364,2076.2,3675.8,27183.6,467.9,1013.6,15880.5
1,10184.1,5020.7,2017.5,3721.9,22526.6,458.1,1051.9,16797.5
1,9331.7,4479.7,1904.2,3479.6,23649.1,446.1,949.1,15688.4
1,9313.8,9061.8,2570.2,4016.2,58470.5,593.8,1237,25916.6
1,9300.4,8796.8,2661.1,3857.1,53199.7,532,1257.6,25021.9
1,9514.5,10008.3,2707.9,3638.2,52486.7,541.4,1246.7,25089
1,8964.8,9542.3,2595.6,3514.2,52052.2,547.4,1221.1,24921.1
1,8625,9402.5,2597.6,3400.2,51501,525.6,1176.9,24487.2
1,7278.9,9339.1,2511.7,3363.4,54808.6,537.1,1300.6,26257.9
1,7388.4,8970.1,2477.5,3370.1,54693.2,526.6,1272.7,26942.1
1,6894.1,8732.2,2195.2,2765.4,52657,512.4,1299.4,25395
1,6789.9,8898.5,2176.2,2488.1,50240.8,547.2,1244.2,20799.2
1,7054.3,9501.7,2220.1,2922.3,51654.2,574.2,1284.8,21773.9
1,7298.5,4907,1685.2,2619.9,15680.2,424.7,1034.1,12546.1
1,7120.2,5526.1,1668.2,2748.3,16381,497.6,1006.8,12490.2
1,6358.4,4141.7,1762.4,2703.5,17323.2,494.8,1033.5,12322.1
1,6120.6,4543.1,1757.5,2814.4,18064.6,487.8,969.5,11165.4
1,6638.7,4654.2,1807.9,2910,22873.2,485.8,916.2,11127.1
1,8197.5,8243,2608.2,3626.6,79550.6,673.8,1049.3,12586.1
1,7976.8,8167.1,2666.3,3505.1,81320.7,679.1,1133.2,12856.2
1,8903.7,8628.9,2647.3,3570.3,81435.4,710.1,1165.6,12780.6
1,9193.5,9552,2708.1,3840.3,81443.2,663.5,1240,12894.5
1,9440.2,9339.4,2748.5,3398.5,79393.2,646.7,1209.2,11688.8
1,9138.6,9312,2598.3,3093.9,77830.7,646.3,1198.4,10347.1
1,10371.8,10758.8,2526.5,3165.7,81032.9,573.5,1171.9,10957.4
1,11793.8,14314.9,3114.6,3729.8,98110.6,653.4,1475.7,11977
1,12420.7,14707.3,3127.8,3801.1,98765.5,640.6,1474.7,12512.5
1,11724.8,15129.3,3075.4,3689.8,100165.3,655.7,1479.1,14918.3
1,9969.5,11611.4,2277.4,2944.3,38490.3,476,1254.3,12629.7
1,12252.6,11977.2,2173,2955.9,37429,460.2,1175.8,11389.1
1,11726.1,11810.7,2206.5,3365,35901.5,429.5,1117.3,11159.9
1,11069.2,12162.7,2193.2,3400.2,36596.2,462.6,1053.2,12075.1
1,10568.2,11934.4,2180.4,3346.7,36015.2,470.2,1027.2,12718.3
1,10533,11822.2,2180,3375.4,36910.5,491.3,1059.7,12531.2
1,10045.1,9871.9,2300.8,3101.5,33351.1,550.1,1036.7,12901.1
1,8824.2,6887.9,1776.6,2754.5,15878.4,455.8,687.1,12165.1
1,9832.9,6537.7,1748.1,2537.9,15101.9,470.3,723.3,12623.9
1,10373.8,6090.2,2014.3,2774.9,9155,487.4,745.6,10480.9
1,10167.6,6641.4,2118.5,2726.6,9442.4,461.7,719.9,10099.6
1,7909.5,5988.9,2217.5,3118,9446.6,468.1,913,9977.9
1,9064.2,5404.4,2223.9,2910.1,10713,598.1,1002.7,11923.4
1,9160.1,4393.7,2306.3,2715,10224.9,612.8,1091.7,11465.2
1,9217.5,4410.8,2353,3072.9,11469,579.4,1103.3,11654.7
1,8880.6,4290.1,2705.7,3274.3,10842.5,548.2,1079,11388.6
1,8827.7,4326.1,2571.5,3201.4,10651.6,592.6,1120.3,10161.7
1,8858.8,3701.9,2401,3528.8,10607.8,612.1,1267.1,11337.4
1,9767.5,5418.8,3160.8,3990.1,51342,693.3,1793.3,18854.2
1,10438.8,5181.2,2920.7,3660.3,51502.9,671.4,1753.7,17890.5
1,10537.8,4299.1,2969.3,3800,51916.2,666.4,1804.1,18229.2
1,10446.7,4585.5,2827.8,3429.3,51345.9,680,1627,18148.3
